slug,name,family,success_rate,mean_steps,mean_blocked_moves,mean_final_manhattan,episodes,reported_astar_efficiency,oracle_reference_steps,step_eff_vs_oracle_mean,combined_success_step_ratio,positive_gif,negative_gif,note
oracle_replan,Oracle A* replanning,symbolic,1.0,70.6875,0.0,,64,0.9659104814744717,70.6875,1.0,1.0,gifs/oracle_replan/positive.gif,,"Full current grid A* replanning. Strong myopic oracle, not stochastic-optimal."
memory_optimistic,Memory optimistic A*,symbolic,1.0,79.71875,0.0,,64,0.9091989724685395,70.6875,0.8867110936887496,0.8867110936887496,gifs/memory_optimistic/positive.gif,,"A* on accumulated visible map, unknown cells treated as free."
fog_optimistic,Fog optimistic A*,symbolic,0.140625,437.6875,0.0,,64,0.13432017543859648,70.6875,0.16150221333714124,0.022711248750535488,gifs/fog_optimistic/positive.gif,gifs/fog_optimistic/negative.gif,"A* on current local observation, unknown cells treated as free."
fog_conservative,Fog conservative A*,symbolic,0.0,488.0,0.0,,64,0.0,70.6875,0.1448514344262295,0.0,,gifs/fog_conservative/negative.gif,"A* on current local observation, unknown cells treated as walls."
memory_conservative,Memory conservative A*,symbolic,0.0,488.0,0.0,,64,0.0,70.6875,0.1448514344262295,0.0,,gifs/memory_conservative/negative.gif,"A* on accumulated map, never-seen cells treated as walls."
random,Random,symbolic,0.0,488.0,247.515625,,64,0.0,70.6875,0.1448514344262295,0.0,,gifs/random/negative.gif,Uniform random cardinal action baseline.
jepa_subgoal_n2,JEPA subgoal N=2,astar_distilled,0.578125,280.8125,103.3125,,64,0.4032436048708812,70.6875,0.2517249054084131,0.14552846093923882,gifs/jepa_subgoal_n2/positive.gif,gifs/jepa_subgoal_n2/negative.gif,A*-distilled waypoint head; A* not queried at eval.
jepa_subgoal_n4,JEPA subgoal N=4,astar_distilled,0.734375,230.6875,92.96875,,64,0.49362548291723396,70.6875,0.3064210241127066,0.22502793958276893,gifs/jepa_subgoal_n4/positive.gif,,A*-distilled longer waypoint head; first saved GIFs are all successes.
learned_value,Bootstrap learned value,bootstrap_wm,0.703125,289.453125,88.609375,6.984375,64,,67.53125,0.233306342780027,0.16404352226720648,gifs/learned_value/positive.gif,gifs/learned_value/negative.gif,A*-free local exploration + hindsight TD value.
probe_pos,Bootstrap probe-pos,bootstrap_wm,0.65625,323.234375,84.6875,6.828125,64,,67.53125,0.20892347851307586,0.13710603277420602,gifs/probe_pos/positive.gif,gifs/probe_pos/negative.gif,World-model rollout scored by decoded position distance.
repr_dist,Bootstrap repr-dist,bootstrap_wm,0.75,244.875,85.09375,4.09375,64,,67.53125,0.2757784583971414,0.20683384379785602,gifs/repr_dist/positive.gif,,World-model rollout scored by latent distance to goal.
belief_value,BeliefLSTM value,bootstrap_wm,0.734375,271.8125,100.5,6.8125,64,,67.53125,0.2484479190618533,0.18245394056104852,gifs/belief_value/positive.gif,,Frozen JEPA + recurrent belief state + learned value.
